timestamp,tender_id,title,organization,estimated_value,deadline,days_until_due,priority_score,qualification_score,combined_score,cable_type,voltage,length_km,cores,armoring,conductor_material,insulation_type,standards
2025-11-08T13:14:18,GEM-PGCIL-33KV-001,Supply of 33 kV XLPE Distribution Cables - 500 KM,Power Grid Corporation of India Limited,125000000,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kV,500,3-core,Armored,Copper,XLPE,"IS 7098, IEC 60502"
2025-11-08T13:26:00,LOCAL-002,33 kV Distribution Cables Supply - 500 KM,Power Grid Corporation of India Limited,125000000,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kV,500,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-08T18:16:22,GEM-PGCIL-33KV-001,Supply of 33 kV XLPE Distribution Cables - 500 KM,Power Grid Corporation of India Limited,125000000,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kV,500,3-core,Armored,Copper,XLPE,"IS 7098, IEC 60502"
2025-11-08T21:36:59,LOCAL-002,33 kV Distribution Cables Supply - 500 KM,Power Grid Corporation of India Limited,125000000,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kV,500,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-08T23:19:58,GEM-PGCIL-33KV-001,Supply of 33 kV XLPE Distribution Cables - 500 KM,Power Grid Corporation of India Limited,125000000,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kV,500,3-core,Armored,Copper,XLPE,"IS 7098, IEC 60502"
2025-11-08T23:40:12,LOCAL-002,33 kV Distribution Cables Supply - 500 KM,Power Grid Corporation of India Limited,125000000,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kV,500,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-09T01:18:57,GEM-PGCIL-33KV-001,Supply of 33 kV XLPE Distribution Cables - 500 KM,Power Grid Corporation of India Limited,125000000,2026-01-25T17:30:00Z,,0.750,0.875,0.875,XLPE,33 kV,500,3-core,Armored,Copper,XLPE,"IS 7098, IEC 60502"
2025-11-09T16:47:33,PG-DEMO-33KV-001,Supply of 33 kV XLPE 3-Core Copper Armored Cables (150 sqmm) — Turnkey Substation Package,POWERGRID Corporation of India Limited,150000000,2025-12-20T17:30:00Z,,0.750,0.795,0.795,XLPE,33 kv,,3-core,Armored,Copper,XLPE,BS 6622
2025-11-09T16:49:31,SEB-maharashtra-66837,"Annual tender for the workof Preventive Maintenance of DTC, LT & HT overhead lines & underground cables in Binaki (O&M) Sub-division under Gandhibag Division of Nagpur Urban CircleNovember 3, 2025, 5:",Maharashtra Electricity Board,0,,,0.550,0.720,0.720,General,Unknown,,3-core,Unarmored,Copper,XLPE,IS 7098
2025-11-09T17:04:34,PG-DEMO-33KV-001,Supply of 33 kV XLPE 3-Core Copper Armored Cables (150 sqmm) — Turnkey Substation Package,POWERGRID Corporation of India Limited,150000000,2025-12-20T17:30:00Z,,0.750,0.795,0.795,XLPE,33 kv,,3-core,Armored,Copper,XLPE,BS 6622
